"","BankDefaultIndex","Name","regnum","DefaultType","DefaultDate","BankLocalization"
"588","588","Трансинвестбанк","3238","отозв.","19.09.2013","Москва"
"589","589","Басманный","2158","отозв.","19.09.2013","Москва"
"590","590","Бизнесбанк","2862","отозв.","19.09.2013","Махачкала"
"591","591","Европейский Индустриальный Банк","2503","отозв.","10.09.2013","Москва"
"592","592","Региональный Кредитный Банк","1608","ликв.","09.09.2013","Калининград"
"593","593","Депозитный Кредитный Дом","3474","отозв.","22.08.2013","Москва"
"594","594","Инстройбанк","2743","отозв.","22.08.2013","Москва"
"595","595","Русский Банк Делового Сотрудничества","1458","ликв.","12.08.2013","Москва"
"596","596","ВЕБРР","3418","отозв.","09.08.2013","Москва"
"597","597","Одинбанк","3197","отозв.","09.08.2013","Одинцово"
"598","598","Анджибанк","570","отозв.","19.07.2013","Махачкала"
"599","599","Паритет","1860-К","отозв.","19.07.2013","Москва"
"600","600","Липецкий Областной Банк","1794","отозв.","08.07.2013","Липецк"
"601","601","Махачкалинский Городской Муниципальный Банк","3192","отозв.","08.07.2013","Махачкала"
"602","602","НОМОС-Региобанк","539","ликв.","08.07.2013","Хабаровск"
"603","603","Липецкий Областной Банк","1794","отозв.","08.07.2013","Липецк"
"604","604","Белгородпромстройбанк","1816","ликв.","28.06.2013","Белгород"
"605","605","Рост","2589","ликв.","26.06.2013","Москва"
"606","606","Сиббизнесбанк","2539","ликв.","25.06.2013","Сургут"
"607","607","Банк Развития Предпринимательства","2836","отозв.","22.03.2013","Москва"
"608","608","Стромкомбанк","404","ликв.","12.03.2013","Красноярск"
"609","609","Сулак","749-К","отозв.","01.03.2013","Кизилюрт"
"610","610","Экспресс","3084","отозв.","21.01.2013","Махачкала"
"611","611","Межрегиональный Клиринговый Центр","3424-К","отозв.","27.12.2012","Москва"
"612","612","Трастовый Банк","2780","отозв.","07.12.2012","Махачкала"
"613","613","Дербент-Кредит","2090","отозв.","26.11.2012","Дербент"
"614","614","Городской Расчетный Центр","3346-К","отозв.","12.11.2012","Курган"
"615","615","Трансэнергобанк","3106","отозв.","02.11.2012","Махачкала"
"616","616","Межбанковский Расчетный Центр","3325-Р","отозв.","02.11.2012","Владивосток"
"617","617","Объединенная Расчетная Палата","3451-К","ликв.","25.10.2012","Москва"
"618","618","Республиканский банк","3277","ликв.","17.09.2012","Москва"
"619","619","Далькомбанк","84","ликв.","11.09.2012","Хабаровск"
"620","620","Свенска Хандельсбанкен","3455","ликв.","03.09.2012","Москва"
"621","621","Мобилбанк","532","отозв.","09.08.2012","Ижевск"
"622","622","Камчатка","2966","отозв.","09.08.2012","Петропавловск-Камчатский"
"623","623","Ипотека-Инвест","3070","ликв.","06.08.2012","Казань"
"624","624","Хлебобанк","1812","отозв.","27.07.2012","Москва"
"625","625","Витас Банк","1955","отозв.","29.06.2012","Москва"
"626","626","Объединенный Банк Развития","3345","отозв.","15.06.2012","Москва"
"627","627","Уральский Трастовый Банк","2523","отозв.","31.05.2012","Ижевск"
"628","628","Орелсоцбанк","2921","отозв.","23.05.2012","Орел"
"629","629","Холдинг-Кредит","3030","отозв.","16.05.2012","Москва"
"630","630","Сембанк","2606","отозв.","16.05.2012","Москва"
"631","631","Баренцбанк","2188","ликв.","02.05.2012","Мурманск"
"632","632","Потенциал","1019","ликв.","26.04.2012","Самара"
"633","633","Универсалтраст","3402","отозв.","13.04.2012","Москва"
"634","634","ПВ-Банк","634","отозв.","13.04.2012","Ульяновск"
"635","635","Международный Инвестиционный Банк","2742","отозв.","05.04.2012","Москва"
"636","636","Сибирский Энергетический Банк","2604","отозв.","05.04.2012","Москва"
"637","637","Вэлкомбанк","589","отозв.","28.02.2012","Пятигорск"
"638","638","Охотный Ряд","3375","отозв.","10.02.2012","Москва"
"639","639","Национальный Торговый Банк","3087","ликв.","23.01.2012","Тольятти"
"640","640","Тревел Банк","531","отозв.","23.01.2012","Москва"
"641","641","Еврорасчет","3498","отозв.","27.12.2011","Москва"
"642","642","Банк Хакасии","3334","ликв.","21.12.2011","Абакан"
"643","643","АБ Финанс","514","ликв.","21.12.2011","Москва"
"644","644","Центральная Расчетная Палата","3313-К","ликв.","05.12.2011","Москва"
"645","645","Мой Банк. Новосибирск","2787","ликв.","28.11.2011","Новосибирск"
"646","646","Нацпромбанк","2360","отозв.","28.11.2011","Москва"
"647","647","Норвик Банк","1407","ликв.","24.11.2011","Москва"
"648","648","Городской Ипотечный Банк","1627","ликв.","22.11.2011","Москва"
"649","649","Удмуртинвестстройбанк","2447","отозв.","15.11.2011","Ижевск"
"650","650","Верхне-Волжский Нефтебанк","3033","ликв.","11.11.2011","Нижний Новгород"
"651","651","УИК-Банк","1300","отозв.","01.11.2011","Челябинск"
"652","652","Тувакредит","1202-К","отозв.","01.11.2011","Кызыл"
"653","653","Ноябрьскнефтекомбанк","2274","ликв.","14.10.2011","Ноябрьск, Тюменская обл."
"654","654","Галабанк","3090","отозв.","03.10.2011","с. Красногвардейское, Адыгея"
"655","655","Кодекс","2746","отозв.","30.09.2011","Москва"
"656","656","Нижегородпромстройбанк","1851","ликв.","05.09.2011","Нижний Новгород"
"657","657","Техноком","2614","ликв.","02.09.2011","Москва"
"658","658","Евросоюз","3411","отозв.","26.08.2011","Москва"
"659","659","Тарханы","459","ликв.","15.08.2011","Пенза"
"660","660","Свердловский Губернский Банк","2975","ликв.","22.07.2011","Екатеринбург"
"661","661","АМТ Банк","2820","отозв.","21.07.2011","Москва"
"662","662","Ратибор-Банк","2174","отозв.","14.07.2011","Москва"
"663","663","Русич Центр Банк","2793","отозв.","14.07.2011","Москва"
"664","664","Сибирьгазбанк","3042","ликв.","07.07.2011","Сургут"
"665","665","Женская Микрофинансовая Cеть","3458-Д","ликв.","07.07.2011","Москва"
"666","666","Банк Сосьете Женераль Восток","2295","ликв.","29.06.2011","Москва"
"667","667","Церих","2627","ликв.","21.06.2011","Москва"
"668","668","Северная Казна","2083","ликв.","17.06.2011","Екатеринбург"
"669","669","Столичный Торговый Банк","2797","ликв.","15.06.2011","Москва"
"670","670","Международный Торгово-Промышленный Банк","1203","отозв.","05.05.2011","Тверь"
"671","671","Инкредбанк","3405","ликв.","18.04.2011","Москва"
"672","672","Соцгорбанк","1827","отозв.","18.04.2011","Мытищи, Московская обл."
"673","673","Востокбизнесбанк","1342","отозв.","14.04.2011","Владивосток"
"674","674","Регион","233","ликв.","06.04.2011","Ярославль"
"675","675","Неополис-Банк","2809","отозв.","24.03.2011","Москва"
"676","676","ВТБ Северо-Запад","439","ликв.","23.03.2011","Санкт-Петербург"
"677","677","Мультибанк","2235","отозв.","10.03.2011","Москва"
"678","678","Наш Банк","1340","отозв.","17.02.2011","Москва"
"679","679","Рабобанк","3488","ликв.","17.02.2011","Москва"
"680","680","МФТ-Банк","3356","отозв.","18.01.2011","Москва"
"681","681","Алемар","2384","ликв.","14.01.2011","Новосибирск"
"682","682","Банк Долгосрочного Кредитования","3391","отозв.","29.12.2010","Москва"
"683","683","Донбанк","2984","отозв.","21.12.2010","Каменск-Шахтинский, Ростовская обл."
"684","684","Русско-Германский Торговый Банк","2747","отозв.","21.12.2010","Москва"
"685","685","Уралфинпромбанк","3119","отозв.","20.12.2010","Екатеринбург"
"686","686","Монетный Дом","419","отозв.","20.12.2010","Челябинск"
"687","687","Приватхолдингбанк","3372","отозв.","14.12.2010","Москва"
"688","688","Империя","2535","отозв.","14.12.2010","Москва"
"689","689","Транштрейд (НКО)","2676-К","отозв.","14.12.2010","Махачкала"
"690","690","Традо-Банк","1065","отозв.","03.12.2010","Москва"
"691","691","Славянский Банк","383","отозв.","03.12.2010","Москва"
"692","692","Востоккредитбанк","922","отозв.","24.11.2010","Благовещенск"
"693","693","Соцэкономбанк","2917","отозв.","24.11.2010","Москва"
"694","694","Петрофф-Банк","2466","отозв.","01.11.2010","Москва"
"695","695","Межпромбанк Плюс","3282","отозв.","21.10.2010","Москва"
"696","696","Тройка","2051","отозв.","21.10.2010","Москва"
"697","697","Ярсоцбанк","828","ликв.","19.10.2010","Ярославль"
"698","698","Международный Промышленный Банк","2056","отозв.","05.10.2010","Москва"
"699","699","Дрезднер Банк","2455","ликв.","01.10.2010","Санкт-Петербург"
"700","700","Ростпромстройбанк","1705","ликв.","01.10.2010","Ростов-на-Дону"
"701","701","Открытие / Инвестиционный банк","2901","ликв.","01.10.2010","Москва"
"702","702","Ростпромстройбанк","1705","ликв.","01.10.2010","Ростов-на-Дону"
"703","703","Сахадаймондбанк","3272","отозв.","30.09.2010","Москва"
"704","704","Евразбанк","1676","ликв.","30.09.2010","Новоивановское, Московская обл."
"705","705","Борский Коммерческий Банк","1303","отозв.","30.09.2010","Бор, Нижегородская обл."
"706","706","Первый Капитал","3201","отозв.","13.08.2010","Москва"
"707","707","Газэнергопромбанк","3284","ликв.","02.08.2010","Газопровод, Московская обл."
"708","708","Хоум-Банк","2397","отозв.","08.07.2010","Москва"
"709","709","Удмуртский Пенсионный Банк","1764","отозв.","17.06.2010","Ижевск"
"710","710","Стройвестбанк","1667","ликв.","11.05.2010","Калининград"
"711","711","Уралсиб-Юг Банк","457","ликв.","11.05.2010","Краснодар"
"712","712","Колыма-Банк","1076","ликв.","07.05.2010","Магадан"
"713","713","Камчатпромбанк","1194","ликв.","07.05.2010","Петропавловск-Камчатский"
"714","714","Балтсоцкомбанк","2545","ликв.","07.05.2010","Калининград"
"715","715","Волгопромбанк","701","ликв.","05.05.2010","Волгоград"
"716","716","Нижний Новгород","926","ликв.","05.05.2010","Нижний Новгород"
"717","717","Камабанк","803","ликв.","05.05.2010","Пермь"
"718","718","Объединенный Горный Банк","2925","отозв.","04.03.2010","Москва"
"719","719","С-Банк","1857","отозв.","26.02.2010","Ижевск"
"720","720","Микомс-Банк","2653","отозв.","18.02.2010","Москва"
"721","721","ТНГИБанк","2560","отозв.","11.02.2010","Томск"
"722","722","Минераловодский","888","отозв.","11.02.2010","Минеральные Воды, Ставропольский край"
"723","723","Донской Народный Банк","2126","ликв.","05.02.2010","Гуково, Ростовская обл."
"724","724","Новосибкоопбанк","2422","ликв.","04.02.2010","Новосибирск"
"725","725","Арвеста","2926","отозв.","04.02.2010","Армавир"
"726","726","Русь-Банк-Урал","1214","ликв.","20.01.2010","Екатеринбург"
"727","727","Интеза","3444","ликв.","11.01.2010","Москва"
"728","728","Промбанк","307","отозв.","29.12.2009","Москва"
"729","729","Мега Банк","2220","отозв.","24.12.2009","Тюмень"
"730","730","Юго-Восток","414","ликв.","23.12.2009","Воронеж"
"731","731","Метракомбанк","2003","ликв.","23.12.2009","Ростов-на-Дону"
"732","732","Супербанк","1338","ликв.","23.12.2009","Благовещенск"
"733","733","Читапромстройбанк","1339","ликв.","23.12.2009","Чита"
"734","734","Международная Расчетная Палата (НКО)","2365","отозв.","17.12.2009","Москва"
"735","735","Сир","1904","отозв.","10.12.2009","Якутск"
"736","736","Южный Регион","2409","ликв.","27.11.2009","Ростов-на-Дону"
"737","737","Межрегиональный Инвестиционный Банк","2788","отозв.","19.11.2009","Москва"
"738","738","Кубань","98","отозв.","19.11.2009","Москва"
"739","739","Петербург-Инвест","2582","ликв.","12.11.2009","Санкт-Петербург"
"740","740","Универсал","2565","отозв.","29.10.2009","Первоуральск, Свердловская обл."
"741","741","Сенатор","3302","отозв.","29.10.2009","Москва"
"742","742","Движение","199","ликв.","22.10.2009","Томск"
"743","743","Либра","2980","отозв.","09.10.2009","Москва"
"744","744","Взаимный Банк","3445","отозв.","09.10.2009","Москва"
"745","745","МБТС-Банк","3039","ликв.","05.10.2009","Москва"
"746","746","Первомайский","652","отозв.","24.09.2009","Ижевск"
"747","747","Центральное О. В. К.","2346","ликв.","15.09.2009","Москва"
"748","748","Межбизнесбанк","3280","отозв.","03.09.2009","Москва"
"749","749","Векомбанк","2844","отозв.","03.09.2009","Калуга"
"750","750","Вымпел","2874","отозв.","27.08.2009","Москва"
"751","751","Белдорбанк","3276","ликв.","24.08.2009","Белгород"
"752","752","Град-Банк","2750","отозв.","20.08.2009","Хабаровск"
"753","753","МДМ-Банк","2361","ликв.","06.08.2009","Москва"
"754","754","Банк Высоких Технологий","3167","отозв.","30.07.2009","Москва"
"755","755","Межрегфинкомбанк","658","отозв.","10.07.2009","Москва"
"756","756","Евро Трейд","3432","отозв.","02.07.2009","Москва"
"757","757","ЮСиБи","2371","ликв.","02.07.2009","Москва"
"758","758","Интернациональный Торговый Банк","3063","отозв.","25.06.2009","Москва"
"759","759","Индустриальный","3156","отозв.","25.06.2009","Москва"
"760","760","ИПФ Банк","899","ликв.","25.06.2009","Москва"
"761","761","Соотечественники","2931","отозв.","18.06.2009","Омск"
"762","762","Эталонбанк","99","ликв.","09.06.2009","Москва"
"763","763","Расчетная палата МРС (НКО)","3469","отозв.","21.05.2009","Москва"
"764","764","Столыпин","2946","отозв.","21.05.2009","Москва"
"765","765","Поволжский Немецкий Банк","2967","отозв.","07.05.2009","Саратов"
"766","766","Юникбанк","2336","отозв.","23.04.2009","Москва"
"767","767","Петро-Аэро-Банк","3227","отозв.","23.04.2009","Санкт-Петербург"
"768","768","Сибирско-Московский Коммерческий Банк","3069","отозв.","16.04.2009","Москва"
"769","769","Фемили","346","отозв.","16.04.2009","Москва"
"770","770","НПК-Банк","3442","отозв.","30.03.2009","Москва"
"771","771","Федеральный Инвестиционный Банк","1422","отозв.","30.03.2009","Москва"
"772","772","Независимый Банк Развития","3055","ликв.","19.03.2009","Москва"
"773","773","Соцкредитбанк","2553","отозв.","19.03.2009","Уфа"
"774","774","Муниципальный Коммерческий Банк","1731","отозв.","05.03.2009","Калининград"
"775","775","Южный Торговый Банк","2478","отозв.","05.03.2009","Ростов-на-Дону"
"776","776","Судкомбанк","1428","отозв.","19.02.2009","Москва"
"777","777","Банк ВЕФК - Урал","2223","отозв.","19.02.2009","Екатеринбург"
"778","778","Инкасбанк","2685","отозв.","19.02.2009","Санкт-Петербург"
"779","779","Империал-Центр (НКО)","3478","отозв.","10.02.2009","Москва"
"780","780","Каури","776","отозв.","10.02.2009","Пермь"
"781","781","Урайкомбанк","667","отозв.","10.02.2009","Урай, Тюменская область"
"782","782","Московский Капитал","3044","отозв.","02.02.2009","Москва"
"783","783","Московский Залоговый Банк","2475","отозв.","02.02.2009","Москва"
"784","784","Астраханьпромбанк","118","отозв.","27.01.2009","Астрахань"
"785","785","Прикамье","844","отозв.","19.01.2009","Пермь"
"786","786","Агрохимбанк","119","отозв.","30.12.2008","Москва"
"787","787","Капитал Кредит","2625","отозв.","26.12.2008","Москва"
"788","788","Электроника","488","отозв.","26.12.2008","Москва"
"789","789","Боровицкие Ворота","3211","отозв.","26.12.2008","Москва"
"790","790","Зелак-Банк","1813","отозв.","19.12.2008","Москва"
"791","791","Сетевой Нефтяной Банк","2720","отозв.","19.12.2008","Калининград"
"792","792","Балткредобанк","2039","отозв.","19.12.2008","Калининград"
"793","793","Тюменьэнергобанк","2419","отозв.","04.12.2008","Тюмень"
"794","794","Газинвестбанк","3212","отозв.","04.12.2008","Москва"
"795","795","Интегро","3215","отозв.","27.11.2008","Москва"
"796","796","Курганпромбанк","1218","отозв.","27.11.2008","Курган"
"797","797","Сибконтакт","1915","отозв.","20.11.2008","Нягань"
"798","798","Сочи","1271","отозв.","20.11.2008","Сочи"
"799","799","Лефко-Банк","1605","отозв.","14.11.2008","Москва"
"800","800","Международный Солидарный Банк","116","ликв.","12.11.2008","Москва"
"801","801","Мира-Банк","3361","отозв.","12.11.2008","Москва"
"802","802","Эконацбанк","2765","отозв.","12.11.2008","Москва"
"803","803","Инвестиционный Банк «Траст»","2783","ликв.","07.11.2008","Москва"
"804","804","Русский Банкирский Дом","2686","отозв.","23.10.2008","Москва"
"805","805","Юнитбанк","2848","отозв.","16.10.2008","Самара"
"806","806","Евразия-Центр","2839","отозв.","10.10.2008","Москва"
"807","807","Премьер","3","отозв.","27.08.2008","Москва"
"808","808","Сахалин-Вест","1668","отозв.","07.08.2008","Южно-Сахалинск"
"809","809","Медпроминвестбанк","2908","отозв.","03.07.2008","Москва"
"810","810","Республиканский Резервный Банк","3394","отозв.","03.07.2008","Москва"
"811","811","Универсальный Банк Сбережений","3409","ликв.","25.06.2008","Москва"
"812","812","Партнербанк","1992","отозв.","16.06.2008","с. Балтай, Саратовская обл."
"813","813","Промкредитбанк","3348","отозв.","05.06.2008","Москва"
"814","814","Кредитсоюзкомбанк","2891","отозв.","22.05.2008","Москва"
"815","815","Красбанк","1569","отозв.","22.05.2008","Москва"
"816","816","Мединвестбанк","2058","отозв.","12.05.2008","Москва"
"817","817","Гран","1125","ликв.","15.04.2008","Екатеринбург"
"818","818","Воронежпромбанк","562","ликв.","15.04.2008","Воронеж"
"819","819","Конверсбанк","122","ликв.","15.04.2008","Москва"
"820","820","Крайний Север","2373","отозв.","13.03.2008","Петропавловск-Камчатский"
"821","821","Рыбхозбанк","241","отозв.","06.03.2008","Москва"
"822","822","Росинбанк-Сибирь","1221","ликв.","06.03.2008","Новосибирск"
"823","823","Банк Промышленного Развития","3369","отозв.","30.01.2008","Москва"
"824","824","Русский Индустриальный Банк","1793","ликв.","29.01.2008","Москва"
"825","825","Интелфинанс","2893","отозв.","17.01.2008","Москва"
"826","826","Объединенный Региональный Банк","3374","отозв.","11.01.2008","Москва"
"827","827","Расчетная Палата РВФБ","3321","ликв.","20.12.2007","Ростов-на-Дону"
"828","828","Китеж","3208","отозв.","20.12.2007","Москва"
"829","829","Бикбанк","3448","отозв.","27.11.2007","Москва"
"830","830","Сатурн","224","отозв.","27.11.2007","Москва"
"831","831","Самолетбанк","1610","отозв.","27.11.2007","Химки, Московская обл."
"832","832","ИМПЭКСБанк","2291","ликв.","23.11.2007","Москва"
"833","833","Русская Инвестиционная Группа","2464","отозв.","20.11.2007","Москва"
"834","834","Масс Медиа Банк","1859","ликв.","19.11.2007","Москва"
"835","835","Ипотечный Банк Развития Регионов","1514","отозв.","15.11.2007","Ростов-на-Дону"
"836","836","Фундамент-Банк","2118","отозв.","15.11.2007","Москва"
"837","837","Поволжское ОВК","2870","ликв.","09.11.2007","Саратов"
"838","838","Имидж","2392","отозв.","01.11.2007","Москва"
"839","839","Международный Социальный Банк","3108","отозв.","26.10.2007","Москва"
"840","840","Эра","1435","отозв.","26.10.2007","Москва"
"841","841","Частный Капитал","2579","отозв.","26.10.2007","Москва"
"842","842","Магаданский","2082","отозв.","18.10.2007","Москва"
"843","843","Алгоритм (НКО)","3464","отозв.","18.10.2007","Москва"
"844","844","Инвестиционный Промэнергобанк","3046","отозв.","27.09.2007","Москва"
"845","845","Альянс Банк","3182","отозв.","27.09.2007","Москва"
"846","846","Благовест","740","отозв.","27.09.2007","Москва"
"847","847","Фалькон","2514","отозв.","20.09.2007","Москва"
"848","848","Атис (НКО)","2358","отозв.","13.09.2007","Москва"
"849","849","Иберус","3259","отозв.","05.09.2007","Москва"
"850","850","Волго-Дон Банк","2612","отозв.","30.08.2007","Волгоград"
"851","851","Волго-Дон Банк","2612","отозв.","30.08.2007","Волгоград"
"852","852","Эрмитаж","2955","отозв.","16.08.2007","Москва"
"853","853","Международный Банк Сотрудничества","1200","отозв.","16.08.2007","Москва"
"854","854","Приволжское ОВК","1141","ликв.","16.08.2007","Нижний Новгород"
"855","855","Дорожник","269","ликв.","09.08.2007","Челябинск"
"856","856","Дзержинский","1113","ликв.","09.08.2007","Пермь"
"857","857","Волгоинвестбанк","3141","ликв.","09.08.2007","Саратов"
"858","858","Тюменьпрофбанк","441","ликв.","09.08.2007","Тюмень"
"859","859","Евразия","573","ликв.","09.08.2007","Ижевск"
"860","860","Алекскомбанк","943","отозв.","26.07.2007","Александров, Владимирская обл."
"861","861","Ярослав","2906","отозв.","10.07.2007","Ярославль"
"862","862","Эталонбанк","2317","ликв.","21.06.2007","Москва"
"863","863","Пико-Банк","1782","отозв.","21.06.2007","Москва"
"864","864","Общий","3218","отозв.","06.06.2007","Москва"
"865","865","Мордовсоцбанк","741","отозв.","06.06.2007","Саранск"
"866","866","Российский Городской Коммерческий Банк","3248","отозв.","24.05.2007","Москва"
"867","867","Таскбанк","2833","ликв.","18.05.2007","Москва"
"868","868","Лео-Банк","1056","отозв.","18.05.2007","Москва"
"869","869","Стройпромбанк","603","отозв.","11.05.2007","Москва"
"870","870","ЭПИН-Банк","3410","ликв.","11.05.2007","Москва"
"871","871","Финансово-Кредитный Банк","750","отозв.","11.05.2007","Москва"
"872","872","Санкт-Петербургский Банк Реконструкции и Развития","3150","отозв.","03.05.2007","Санкт-Петербург"
"873","873","Экспортбанк","3210","отозв.","26.04.2007","Москва"
"874","874","Диамонд-Банк","3225","отозв.","26.04.2007","Москва"
"875","875","Антарес","734","отозв.","06.04.2007","Махачкала"
"876","876","Сибирский Банк Развития","2501","отозв.","06.04.2007","Москва"
"877","877","Хасавюртовский","1687","отозв.","29.03.2007","Хасавюрт, Дагестан"
"878","878","Банк Развития и Инвестиций","2770","отозв.","29.03.2007","Москва"
"879","879","МФД-Клиринг","3305","отозв.","23.03.2007","Москва"
"880","880","Городской Расчетный Корпоративный Банк","3281","отозв.","19.03.2007","Москва"
"881","881","Объединенный Кредитный Альянс","3406","отозв.","19.03.2007","Москва"
"882","882","Рубин","3129","отозв.","09.03.2007","Махачкала"
"883","883","Городской Клиентский","3392","отозв.","01.02.2007","Москва"
"884","884","Евростройбанк","3453","отозв.","25.01.2007","Москва"
"885","885","Градобанк","2563","отозв.","25.01.2007","Москва"
"886","886","Межрегиональный Расчетный Центр (НКО)","3382","отозв.","18.01.2007","Москва"
"887","887","Новокубанский","576","отозв.","18.01.2007","Москва"
"888","888","Сибэкономбанк","1824","отозв.","18.01.2007","Москва"
"889","889","Ринк-Банк","2717","отозв.","27.12.2006","Клин, Московская обл."
"890","890","Форпост","2575","отозв.","27.12.2006","Москва"
"891","891","Уралвнешторгбанк","1522","ликв.","22.12.2006","Екатеринбург"
"892","892","Альфа-Банк-Казань","3429","ликв.","21.12.2006","Казань"
"893","893","Фабер-Банк","2359","отозв.","21.12.2006","Москва"
"894","894","Инбанкпродукт","3191","отозв.","21.12.2006","Москва"
"895","895","Мигрос","3086","отозв.","21.12.2006","Москва"
"896","896","Расчетный Клиринговый Центр (НКО)","3462","отозв.","14.12.2006","Москва"
"897","897","Профбанк","235","отозв.","05.12.2006","Москва"
"898","898","Бадр-Форте Банк","1567","отозв.","05.12.2006","Москва"
"899","899","Европроминвест","1952","отозв.","03.11.2006","Москва"
"900","900","Интерсвязьбанк","2154","отозв.","03.11.2006","Москва"
"901","901","Стройкредитинвест","3146","отозв.","12.10.2006","Москва"
"902","902","Хард-Банк","2092","отозв.","05.10.2006","Саратов"
"903","903","Торгово-Инвестиционный Банк","2823","отозв.","28.09.2006","Москва"
"904","904","Универсалстройбанк","3021","отозв.","28.09.2006","Москва"
"905","905","Русский Банк Имущественной Опеки","2701","отозв.","21.09.2006","Москва"
"906","906","Кумост-Инкасс (НКО)","3347","отозв.","21.09.2006","Москва"
"907","907","Бэлком","2222","отозв.","08.09.2006","Москва"
"908","908","Неман","1041","отозв.","05.09.2006","Неман, Калининградская обл."
"909","909","Дисконт","1234","отозв.","01.09.2006","Москва"
"910","910","Объединенный Транспортный Банк","3169","отозв.","31.08.2006","Москва"
"911","911","Трансрегиональная Финансовая Компания","3362","отозв.","31.08.2006","Москва"
"912","912","Федеральный Промышленный Банк","2489","отозв.","24.08.2006","Москва"
"913","913","Центурион","2991","отозв.","24.08.2006","Москва"
"914","914","Универбанк","2525","отозв.","24.08.2006","Москва"
"915","915","Банк Инвестиций и Кредитования","2102","отозв.","10.08.2006","Москва"
"916","916","Фонон","209","отозв.","10.08.2006","Москва"
"917","917","Омскпромстройбанк","1693","ликв.","05.08.2006","Омск"
"918","918","Промфинсервисбанк","624","ликв.","05.08.2006","Новороссийск"
"919","919","Интерконтакт","3363","отозв.","27.07.2006","Москва"
"920","920","Федеральный Банк Развития","2792","отозв.","14.07.2006","Москва"
"921","921","Мособлинвестбанк","470","отозв.","14.07.2006","Москва"
"922","922","Сигма","392","ликв.","06.07.2006","Москва"
"923","923","Банк Развития Промышленного Производства","2266","ликв.","28.06.2006","Москва"
"924","924","Евроазиатский Финансовый Альянс","3376","отозв.","28.06.2006","Москва"
"925","925","Юнион-Трэйд","3355","отозв.","23.06.2006","Москва"
"926","926","Экситон","3412","отозв.","23.06.2006","Москва"
"927","927","ИФКО-Банк","2872","отозв.","16.06.2006","Москва"
"928","928","ВИП-Банк","1421","отозв.","16.06.2006","Москва"
"929","929","Стройбанк","2940","отозв.","16.06.2006","Краснодар"
"930","930","Европейский Расчетный Банк","3148","отозв.","07.06.2006","Москва"
"931","931","Моспромбанк","1890","отозв.","07.06.2006","п.Шереметьевский, Московская обл."
"932","932","Петровка","2640","отозв.","01.06.2006","Москва"
"933","933","Банк Реконструкции и Финансового Оздоровления","1170","отозв.","11.05.2006","Благодарный, Ставропольский край"
"934","934","Нефтяной","1423","отозв.","04.05.2006","Москва"
"935","935","Золото-Платина-Банк","2552","ликв.","28.04.2006","Екатеринбург"
"936","936","Альянс-Капитал","3230","отозв.","27.04.2006","Москва"
"937","937","Русские Финансовые Традиции","2934","отозв.","21.04.2006","Москва"
"938","938","РТБ-Банк","3076","отозв.","21.04.2006","Москва"
"939","939","Межотраслевой Промышленный Банк","3133","отозв.","21.04.2006","Москва"
"940","940","Банк Инвестиций и Технологий","2367","отозв.","05.04.2006","Москва"
"941","941","Красноярский Социальный Коммерческий Банк","2840","отозв.","05.04.2006","Красноярск"
"942","942","Национальное расчетно-кредитное общество (НКО)","3438","отозв.","30.03.2006","Москва"
"943","943","Арчекас","795","отозв.","30.03.2006","Москва"
"944","944","Банк Развития Предпринимательства и Культуры","1436","отозв.","23.03.2006","Москва"
"945","945","Региональная Перспектива","2976","отозв.","23.03.2006","Москва"
"946","946","Панэмстройбанк","3158","отозв.","23.03.2006","Москва"
"947","947","Межторгбанк","3093","ликв.","06.03.2006","Москва"
"948","948","Делна банк","971","отозв.","27.02.2006","Москва"
"949","949","Маркетингбанк","689","отозв.","16.02.2006","Москва"
"950","950","Миркомбанк","2841","отозв.","09.02.2006","Москва"
"951","951","Инкассация Банков и Организаций (НКО)","3426","отозв.","02.02.2006","Москва"
"952","952","Столичный Капитал","2887","отозв.","26.01.2006","Москва"
"953","953","Роскомветеранбанк","1847","отозв.","26.01.2006","Москва"
"954","954","Орион","938","отозв.","24.01.2006","Ярославль"
"955","955","НОВА Банк","2800","ликв.","18.01.2006","Самара"
"956","956","Самарский Кредит","3101","ликв.","18.01.2006","Самара"
"957","957","Галичкомбанк","978","отозв.","13.01.2006","Галич, Костромская обл."
"958","958","Жилстройэкономбанк","2399","отозв.","13.01.2006","Москва"
"959","959","Свердлсоцбанк","579","ликв.","29.12.2005","Екатеринбург"
"960","960","Гарантия","2651","ликв.","08.12.2005","Нижний Новгород"
"961","961","Промавтобанк","2016","ликв.","06.12.2005","Самара"
"962","962","Макпромбанк","3075","отозв.","05.12.2005","Москва"
"963","963","Национальный Капитал","1758","отозв.","05.12.2005","Москва"
"964","964","Интерхимбанк","2912","ликв.","14.11.2005","Москва"
"965","965","Банк Корпорации Резервных Фондов (Банк КРФ)","2977","отозв.","14.11.2005","Москва"
"966","966","Пошехонский","1255","отозв.","27.10.2005","Пошехонье, Ярославская обл."
"967","967","Бризбанк","2947","ликв.","06.10.2005","Москва"
"968","968","Кузбассугольбанк","1898","ликв.","20.09.2005","Кемерово"
"969","969","ИБГ «НИКойл»","409","ликв.","20.09.2005","Москва"
"970","970","Брянский Народный Банк","2784","ликв.","20.09.2005","Брянск"
"971","971","Автобанк-НИКОЙЛ","30","ликв.","20.09.2005","Москва"
"972","972","НЭП Банк","2075","отозв.","15.09.2005","Москва"
