"","BankDefaultIndex","Name","regnum","DefaultType","DefaultDate","BankLocalization"
"191","191","АлтайБизнес-Банк","2388","отозв.","19.01.2018","Барнаул"
"192","192","ВТБ 24","1623","ликв.","01.01.2018","Москва"
"193","193","Северный Кредит","2398","отозв.","29.12.2017","Вологда"
"194","194","Преодоление","2649","отозв.","22.12.2017","Москва"
"195","195","Солидарность (Москва)","1555","отозв.","15.12.2017","Москва"
"196","196","Канский","860","отозв.","13.12.2017","Березовка"
"197","197","Новопокровский","467","отозв.","04.12.2017","Краснодар"
"198","198","Европейский Стандарт","3200","отозв.","04.12.2017","Москва"
"199","199","Новый Символ","370","отозв.","27.11.2017","Москва"
"200","200","Регионфинансбанк","3357","отозв.","17.11.2017","Москва"
"201","201","Платежный Клиринговый Дом","3343-К","отозв.","14.11.2017","Москва"
"202","202","Народный Земельно-Промышленный Банк","2873","ликв.","13.11.2017","Бийск"
"203","203","Уралприватбанк","153","ликв.","03.11.2017","Екатеринбург"
"204","204","МФБанк","3163","отозв.","04.10.2017","Москва"
"205","205","Темпбанк","55","отозв.","02.10.2017","Москва"
"206","206","Арсенал","3000","отозв.","21.09.2017","Москва"
"207","207","Русский Международный Банк","3123","отозв.","04.09.2017","Москва"
"208","208","Северо-Восточный Альянс","2768","отозв.","21.08.2017","Москва"
"209","209","Риабанк","3434","отозв.","17.08.2017","Москва"
"210","210","Анелик РУ","3443","отозв.","09.08.2017","Москва"
"211","211","Континент Финанс","149-К","отозв.","09.08.2017","Москва"
"212","212","Резерв","2364","отозв.","09.08.2017","Челябинск"
"213","213","Крыловский","456","отозв.","02.08.2017","Краснодар"
"214","214","Югра","880","отозв.","28.07.2017","Москва"
"215","215","Спурт Банк","2207","отозв.","21.07.2017","Казань"
"216","216","Межтопэнергобанк","2956","отозв.","20.07.2017","Москва"
"217","217","Банк Премьер Кредит","1663","отозв.","10.07.2017","Москва"
"218","218","Сталь Банк","2248","отозв.","10.07.2017","Москва"
"219","219","Легион","3117","отозв.","07.07.2017","Москва"
"220","220","Московский Национальный Инвестиционный Банк","3181","отозв.","05.07.2017","Москва"
"221","221","Фидбэк","3502-К","отозв.","19.06.2017","Москва"
"222","222","Расчетный Финансовый Дом","3430-К","отозв.","19.06.2017","Санкт-Петербург"
"223","223","РИТЦ Банк","2677","отозв.","29.05.2017","Петрозаводск"
"224","224","Айви Банк","2055","отозв.","29.05.2017","Москва"
"225","225","ИР-Кредит","1724-К","ликв.","29.05.2017","Москва"
"226","226","Интеркоопбанк","2803","отозв.","15.05.2017","Москва"
"227","227","Информпрогресс","2166","отозв.","15.05.2017","Москва"
"228","228","Банк БФА","3038","ликв.","02.05.2017","Санкт-Петербург"
"229","229","Башпромбанк","1006","ликв.","02.05.2017","Уфа"
"230","230","Сибэс","208","отозв.","28.04.2017","Омск"
"231","231","Международный Строительный Банк","3484","отозв.","28.04.2017","Москва"
"232","232","Владпромбанк","870","отозв.","28.04.2017","Владимир"
"233","233","Рапида","3371-К","ликв.","27.04.2017","Москва"
"234","234","Гаранти Банк — Москва","3275","ликв.","27.04.2017","Москва"
"235","235","Образование","1521","отозв.","21.04.2017","Москва"
"236","236","Финарс Банк","2938","отозв.","21.04.2017","Москва"
"237","237","Росэнергобанк","2211","отозв.","10.04.2017","Москва"
"238","238","Татагропромбанк","728","отозв.","05.04.2017","Казань"
"239","239","Меткомбанк (Череповец)","901","ликв.","27.03.2017","Череповец"
"240","240","Бинбанк Столица","3052","ликв.","24.03.2017","Москва"
"241","241","Нефтяной Альянс","2859","отозв.","14.03.2017","Москва"
"242","242","Торговый Городской Банк","3180","отозв.","13.03.2017","Москва"
"243","243","Банк Экономический Союз","2798","отозв.","13.03.2017","Москва"
"244","244","Интехбанк","2705","отозв.","03.03.2017","Казань"
"245","245","Татфондбанк","3058","отозв.","03.03.2017","Казань"
"246","246","Межрегиональный Почтовый Банк","3171","ликв.","03.03.2017","Москва"
